Date,Billing Period Start,Billing Period End,Payment Duration,Shop Name,Shop Domain,Shop Email,Shop Country,Details,Charge Type,Partner Sale,Shopify Fee,Processing Fee,Regulatory Operating Fee,Partner Share,Charge ID,Partner Sale Currency,Partner Sale In Payout Currency,Payout Currency
2025-07-18 07:05:52 UTC,2025-06-27 00:00:00 UTC,2025-07-27 00:00:00 UTC,,LAMILUXE,xiyun-jewelery.myshopify.com,service@lamiluxe.com,HK,Basic Plan,App sale – 30-day subscription,1.0,0.0,0.03,0.0,0.97,gid://shopify/AppSubscription/34708226360,USD,1.0,USD
2025-07-16 06:35:49 UTC,2025-06-24 00:00:00 UTC,2025-07-24 00:00:00 UTC,,Ninth Sound,avenue-media-house.myshopify.com,hello@ninth.ca,CA,Growth Plan,App sale – 30-day subscription,7.2,0.0,0.15,0.0,5.1,gid://shopify/AppSubscription/25896583212,CAD,5.25,USD
2025-07-14 07:50:36 UTC,2025-06-26 00:00:00 UTC,2025-07-26 00:00:00 UTC,"May 16, 2025 - July 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Growth Plan,App sale – 30-day subscription,7.17,0.0,0.15,0.0,5.09,gid://shopify/AppSubscription/48913121593,CAD,5.24,USD
2025-07-05 06:47:09 UTC,2025-07-01 00:00:00 UTC,2025-07-31 00:00:00 UTC,"May 16, 2025 - July 16, 2025",Allegra K,csa-allegra-k.myshopify.com,cs@allegra-k.com,HK,Growth Plan,App sale – 30-day subscription,5.0,0.0,0.15,0.0,4.85,gid://shopify/AppSubscription/30888919283,USD,5.0,USD
2025-07-03 07:35:07 UTC,2025-06-13 00:00:00 UTC,2025-07-13 00:00:00 UTC,"May 16, 2025 - July 16, 2025",YuuDada - Mode Equestre,fb10e0-15.myshopify.com,lyews.contact@gmail.com,FR,Basic Plan,App sale – 30-day subscription,0.87,0.0,0.03,0.0,1.0,gid://shopify/AppSubscription/65559888198,EUR,1.03,USD
2025-06-18 07:08:42 UTC,2025-05-28 00:00:00 UTC,2025-06-27 00:00:00 UTC,"May 16, 2025 - July 16, 2025",LAMILUXE,xiyun-jewelery.myshopify.com,service@lamiluxe.com,HK,Basic Plan,App sale – 30-day subscription,1.0,0.0,0.03,0.0,0.97,gid://shopify/AppSubscription/34708226360,USD,1.0,USD
2025-06-16 06:33:54 UTC,2025-05-25 00:00:00 UTC,2025-06-24 00:00:00 UTC,"May 16, 2025 - July 16, 2025",Ninth Sound,avenue-media-house.myshopify.com,hello@ninth.ca,CA,Growth Plan,App sale – 30-day subscription,7.2,0.0,0.15,0.0,5.15,gid://shopify/AppSubscription/25896583212,CAD,5.3,USD
2025-06-14 07:25:07 UTC,2025-05-27 00:00:00 UTC,2025-06-26 00:00:00 UTC,"May 16, 2025 - July 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Growth Plan,App sale – 30-day subscription,7.17,0.0,0.15,0.0,5.12,gid://shopify/AppSubscription/48913121593,CAD,5.27,USD
2025-05-18 06:53:13 UTC,2025-04-28 00:00:00 UTC,2025-05-28 00:00:00 UTC,"May 16, 2025 - July 16, 2025",LAMILUXE,xiyun-jewelery.myshopify.com,service@lamiluxe.com,HK,Basic Plan,App sale – 30-day subscription,1.0,0.0,0.03,0.0,0.97,gid://shopify/AppSubscription/34708226360,USD,1.0,USD
2025-05-17 06:35:20 UTC,2025-04-25 00:00:00 UTC,2025-05-25 00:00:00 UTC,"May 16, 2025 - July 16, 2025",Ninth Sound,avenue-media-house.myshopify.com,jesse@ninthcompany.com,CA,Growth Plan,App sale – 30-day subscription,7.2,0.0,0.15,0.0,5.01,gid://shopify/AppSubscription/25896583212,CAD,5.16,USD
2025-05-15 07:54:32 UTC,2025-04-27 00:00:00 UTC,2025-05-27 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Growth Plan,App sale – 30-day subscription,7.17,0.0,0.15,0.0,5.0,gid://shopify/AppSubscription/48913121593,CAD,5.15,USD
2025-05-08 00:18:32 UTC,,,"December 16, 2024 - May 16, 2025",LAMILUXE,xiyun-jewelery.myshopify.com,service@lamiluxe.com,HK,,App credit,-3.0,0.0,0.0,0.0,-3.0,,USD,-3.0,USD
2025-04-18 18:26:35 UTC,2025-03-26 00:00:00 UTC,2025-04-25 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Ninth Sound,avenue-media-house.myshopify.com,jesse@ninthcompany.com,CA,Growth Plan,App sale – 30-day subscription,7.2,0.0,0.15,0.0,5.05,gid://shopify/AppSubscription/25896583212,CAD,5.2,USD
2025-04-15 07:50:25 UTC,2025-03-28 00:00:00 UTC,2025-04-27 00:00:00 UTC,"December 16, 2024 - May 16, 2025",Breeze Block Canada,interiorbreezeblock.myshopify.com,kevin.sherman@breezeblock.ca,CA,Growth Plan,App sale – 30-day subscription,7.17,0.0,0.15,0.0,5.02,gid://shopify/AppSubscription/48913121593,CAD,5.17,USD
